Caractère ,syllabic,consonantal,height,back,round,voice,plosive,nasal,fricative,lateral,trill,aspiration
#VOYELLES ,,,,,,,,,,,,
i,1,0,3,2,0,1,0,0,0,0,0,0
y,1,0,3,2,1,1,0,0,0,0,0,0
ɨ,1,0,3,1,0,1,0,0,0,0,0,0
ʉ,1,0,3,1,1,1,0,0,0,0,0,0
ɯ,1,0,3,0,0,1,0,0,0,0,0,0
u,1,0,3,0,1,1,0,0,0,0,0,0
e,1,0,2,2,0,1,0,0,0,0,0,0
ø,1,0,2,2,1,1,0,0,0,0,0,0
ɘ,1,0,2,1,0,1,0,0,0,0,0,0
ɵ,1,0,2,1,1,1,0,0,0,0,0,0
ɤ,1,0,2,0,0,1,0,0,0,0,0,0
o,1,0,2,0,1,1,0,0,0,0,0,0
ɛ,1,0,1,2,0,1,0,0,0,0,0,0
œ,1,0,1,2,1,1,0,0,0,0,0,0
ɜ,1,0,1,1,0,1,0,0,0,0,0,0
ɞ,1,0,1,1,1,1,0,0,0,0,0,0
ʌ,1,0,1,0,0,1,0,0,0,0,0,0
ɔ,1,0,1,0,1,1,0,0,0,0,0,0
a,1,0,0,1,0,1,0,0,0,0,0,0
ɶ,1,0,0,1,1,1,0,0,0,0,0,0
ɑ,1,0,0,1,0,1,0,0,0,0,0,0
#CONSONNES,,,,,,,,,,,,
#,,,,,,,,,,,,
#PHARYNGEAL,,,,,,,,,,,,
h,0,1,-1,-1,0,0,0,0,0,0,0,1
ʕ,0,1,-1,-1,0,0,0,0,1,0,0,1
#BILABIAL,,,,,,,,,,,,
p,0,1,0,3,0,0,1,0,0,0,0,0
b,0,1,0,3,0,1,0,0,0,0,0,0
m,0,1,0,3,0,1,0,1,0,0,0,0
ɸ,0,1,0,3,0,0,0,0,1,0,0,0
β,0,1,0,3,0,1,0,0,1,0,0,0
#LABIODENTAL,,,,,,,,,,,,
f,0,1,1,3,0,0,1,0,0,0,0,0
v,0,1,1,3,0,0,1,0,0,0,0,0
ɱ,0,1,1,3,0,0,0,1,0,0,0,0
#DENTAL,,,,,,,,,,,,
s,0,1,1,2,0,0,0,0,1,0,0,0
z,0,1,1,2,0,1,0,0,1,0,0,0
θ,0,1,1,2,0,0,0,0,0,0,0,0
ð,0,1,1,2,0,1,0,0,0,0,0,0
t,0,1,1,2,0,0,1,0,0,0,0,0
d,0,1,1,2,0,1,1,0,0,0,0,0
n,0,1,1,2,0,1,0,1,0,0,0,0
#RETROFLEX,,,,,,,,,,,,
ʂ,0,1,2,2,0,0,0,0,1,0,0,0
ʐ,0,1,2,2,0,1,0,0,1,0,0,0
ʈ,0,1,2,2,0,0,1,0,0,0,0,0
ɖ,0,1,2,2,0,1,1,0,0,0,0,0
ɳ,0,1,2,2,0,1,0,1,0,0,0,0
#PALATAL,,,,,,,,,,,,
ç,0,1,2,1,0,0,0,0,1,0,0,0
ʝ,0,1,2,1,0,1,0,0,1,0,0,0
c,0,1,2,1,0,0,1,0,0,0,0,0
ɟ,0,1,2,1,0,1,1,0,0,0,0,0
ɲ,0,1,2,1,0,1,1,1,0,0,0,0
#VELAR,,,,,,,,,,,,
x,0,1,1,0,0,0,0,0,1,0,0,0
ɣ,0,1,1,0,0,1,0,0,1,0,0,0
k,0,1,1,0,0,0,1,0,0,0,0,0
ɡ,0,1,1,0,0,1,1,0,0,0,0,0
g,0,1,1,0,0,1,1,0,0,0,0,0
ŋ,0,1,1,0,0,1,0,1,0,0,0,0
#UVULAR,,,,,,,,,,,,
χ,0,1,0,0,0,0,0,0,1,0,0,0
ʁ,0,1,0,0,0,1,0,0,1,0,0,0
q,0,1,0,0,0,0,1,0,0,0,0,0
ɢ,0,1,0,0,0,1,1,0,0,0,0,0
ɴ,0,1,0,0,0,1,0,1,0,0,0,0
#LATERAL,,,,,,,,,,,,
l,0,1,1,2,0,1,1,0,0,1,0,0
ɭ,0,1,2,2,0,1,0,0,0,1,0,0
ʎ,0,1,2,1,0,1,1,0,0,1,0,0
ʟ,0,1,1,0,0,1,1,0,0,1,0,0
#TRILL,,,,,,,,,,,,
ʙ,0,1,1,3,0,1,0,0,1,0,1,0
r,0,1,1,2,0,1,0,0,1,0,1,0
ɽ,0,1,2,2,0,1,0,0,1,0,1,0
ⱱ,0,1,1,3,0,1,0,0,1,0,1,0
#GLIDES,,,,,,,,,,,,
j,1,1,2,1,0,1,0,0,0,0,0,0
w,1,1,0,3,1,1,0,0,0,0,0,0
ʋ,1,1,1,3,0,1,0,0,0,0,0,0
ɻ,1,1,2,2,0,1,0,0,0,0,0,0
ɰ,1,1,1,0,0,1,0,0,0,0,0,0
ʍ,1,1,1,0,1,0,1,0,0,0,0,0
#OTHERS,,,,,,,,,,,,
l,0,1,1,2,0,0,1,0,1,1,0,0
l,0,1,1,2,0,1,1,0,1,1,0,0
