	11	10	9	8	7	6	5	4	3	2	1	0
N	m̥	-	-	-	n̥	-	ɳ̊	ɲ̊	ŋ̊	-	-	-
Nv	m	ɱ	n̼	-	n	-	ɳ	ɲ	ŋ	ɴ	-	-
P	p	p̪	t̼	-	t	-	ʈ	c	k	q	ʡ	ʔ
Pv	b	b̪	d̼	-	d	-	ɖ	ɟ	ɡ	ɢ	-	-
S	-	-	-	-	s	ʃ	ʂ	ɕ	-	-	-	-
Sv	-	-	-	-	z	ʒ	ʐ	ʑ	-	-	-	-
F	ɸ	f	θ̼	θ	θ̠	ɹ̠˔	-	ç	x	χ	ħ	h
Fv	β	v	ð̼	ð	ð̠	ɹ̠˔	ɻ˔	ʝ	ɣ	ʁ	ʕ	ɦ
Av	w	ʋ	-	-	ɹ	-	ɻ	j	ɰ	-	-	ʔ̞
Fl	-	-	-	-	ɾ̥	-	ɽ̊	-	-	-	-	-
Flv	ⱱ̟	ⱱ	ɾ̼	-	ɾ	-	ɽ	-	-	ɢ̆	ʡ̆	-
T	ʙ̥	-	-	-	r̥	-	ɽ̊r̥	-	-	ʀ̥	ʜ	-
Tv	ʙ	-	-	-	r	-	ɽr	-	-	ʀ	ʢ	-
Lf	-	-	-	-	ɬ	-	ɭ̊˔	ʎ̝̊	ʟ̝̊	-	-	-
Lfv	-	-	-	-	ɮ	-	ɭ˔	ʎ̝	ʟ̝	-	-	-
Lv	-	-	-	-	l	-	ɭ	ʎ	ʟ	ʟ̠	-	-
Lt	-	-	-	-	ɺ̥	-	ɭ̥̆	-	-	-	-	-
Ltv	-	-	-	-	ɺ	-	ɭ̆	ʎ̆	ʟ̆	-	-	-
